,Unnamed: 0,unique_id,node,category_list,construct_list,ml_words_updated,shape,icon,cons_synnonyms,cat_synnonyms,description,emb_string,psid,sid
0,25690,abbvie_evolution_abbvie_aa_nsm_deck1_0094_4_abbvie_aa_nsm,4,['evolution'],['area graph'],['curtain'],[],[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['transform', 'playbook', 'accelerate', 'acceleration', 'improvement', 'disruption', 'enhancement', 'new thinking', 'migration', 'migrate', 'a to b', 'thrive', 'good better best', 'old vs. new', 'worse to best', 'from lowest to highest', 'refinement', 'refine', 'under construction', 'restructure', 'progression', 'transformation', 'revision', 'change', 'reconstruct', 'remodel', 'revamp']","['increase', 'refinement', 'chart', 'percentage', 'statistic', 'migration', 'quantitative', 'refine', 'incremental', 'numeration', 'datum', 'reconstruct', 'revamp', 'number', 'evolution', 'revision', 'decrease', 'economic', 'percent', 'disruption', 'transformation', 'graph style', 'remodel', 'tipping point', 'trend', 'change', 'numerical', 'curtain', 'stat', 'worse to best', 'migrate', 'progression', 'improvement', 'transform', 'a to b', 'accelerate', 'playbook', 'under construction', 'restructure', 'surface chart', 'area graph', 'analytic', 'quant', 'acceleration', 'from lowest to highest', 'thrive', 'old vs. new', 'financial', 'area chart', 'good better best', 'graph format', 'graphical format', 'graph', 'quantify', 'enhancement', 'new thinking']",. The category is evolution. The construct is area_graph and contain curtain,94,94
1,18029,abbvie_comparison_abbvie_aa_nsm_deck1_0283_3_abbvie_aa_nsm,3,['comparison'],['area graph'],['curtain'],"['trapezium', 'triangle']",[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'trapezium', 'common', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a trapezium triangle,281,283
2,18030,abbvie_comparison_abbvie_aa_nsm_deck1_0284_4_abbvie_aa_nsm,4,['comparison'],['area graph'],['curtain'],"['trapezium', 'triangle']",[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'trapezium', 'common', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a trapezium triangle,284,284
3,18031,abbvie_comparison_abbvie_aa_nsm_deck1_0285_2_abbvie_aa_nsm,2,['comparison'],['area graph'],['curtain'],"['trapezium', 'triangle']",[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'trapezium', 'common', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a trapezium triangle,284,285
4,18032,abbvie_comparison_abbvie_aa_nsm_deck1_0286_3_abbvie_aa_nsm,3,['comparison'],['area graph'],['curtain'],['triangle'],[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'common', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a triangle,284,286
5,18033,abbvie_comparison_abbvie_aa_nsm_deck1_0287_4_abbvie_aa_nsm,4,['comparison'],['area graph'],['curtain'],"['rectangle', 'trapezium', 'triangle']","['gear', 'rocket']","['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'rocket', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'trapezium', 'common', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'gear', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'rectangle', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a rectangle trapezium triangle with gear rocket icon,287,287
6,13748,abbvie_celebrations_abbvie_aa_nsm_deck1_0073_2_abbvie_aa_nsm,2,['celebration'],['area graph'],['curtain'],"['circle', 'rounded', 'rectangle', 'star']",[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']",[],"['increase', 'chart', 'percentage', 'rounded', 'statistic', 'quantitative', 'incremental', 'numeration', 'datum', 'number', 'circle', 'decrease', 'economic', 'percent', 'graph style', 'celebration', 'rectangle', 'tipping point', 'trend', 'numerical', 'curtain', 'stat', 'surface chart', 'area graph', 'analytic', 'quant', 'financial', 'star', 'area chart', 'graph format', 'graphical format', 'graph', 'quantify']",. The category is celebrations. The construct is area_graph and contain curtain having shape of a circle rounded rectangle star,72,73
7,18028,abbvie_comparison_abbvie_aa_nsm_deck1_0282_2_abbvie_aa_nsm,2,['comparison'],['area graph'],['curtain'],"['trapezium', 'triangle']",[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'trapezium', 'common', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a trapezium triangle,281,282
8,13749,abbvie_celebrations_abbvie_aa_nsm_deck1_0074_3_abbvie_aa_nsm,3,['celebration'],['area graph'],['curtain'],"['circle', 'rounded', 'rectangle', 'star']",[],"['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']",[],"['increase', 'chart', 'percentage', 'rounded', 'statistic', 'quantitative', 'incremental', 'numeration', 'datum', 'number', 'circle', 'decrease', 'economic', 'percent', 'graph style', 'celebration', 'rectangle', 'tipping point', 'trend', 'numerical', 'curtain', 'stat', 'surface chart', 'area graph', 'analytic', 'quant', 'financial', 'star', 'area chart', 'graph format', 'graphical format', 'graph', 'quantify']",. The category is celebrations. The construct is area_graph and contain curtain having shape of a circle rounded rectangle star,72,74
9,18035,abbvie_comparison_abbvie_aa_nsm_deck1_0289_3_abbvie_aa_nsm,3,['comparison'],['area graph'],['curtain'],"['rectangle', 'trapezium', 'triangle']","['chat', 'gear']","['area chart', 'surface chart', 'datum', 'number', 'numerical', 'quant', 'quantitative', 'financial', 'economic', 'chart', 'graph', 'trend', 'graph format', 'graphical format', 'graph style', 'analytic', 'percent', 'percentage', 'stat', 'statistic', 'tipping point', 'incremental', 'quantify', 'numeration', 'increase', 'decrease']","['comparable', 'benchmark', 'a b testing', 'good vs bad', 'parallel', 'side by side', 'two side', 'similarity', ""what's working"", 'alike and different', 'equal', 'same and different', 'common', 'commonality', 'less and more', 'laggard', 'loyalist', 'dabbler', 'early adopter', 'ea', 'migration', 'migrate', 'today', 'tomorrow', 'today vs tomorrow', 'actual vs forecast', 'assumptions vs actual', 'nearest', 'left and right', 'a to b', 'opposite', 'ups and down', 'dichotomy', 'up vs down slide', 'high to low', 'comparing', 'old vs. new', 'here to there', 'known and unknown', 'pre post', 'known or not known', 'above or below', 'actual vs. anticipated', 'this then', 'this then that', 'increase and decrease', 'split screen', 'proactive vs. reactive', 'baseline', 'comparative', 'opposite end', 'polarity', 'upsides downside', 'competition divider', 'comparator', 'where we are where we want to be', 'true or false', 'differentiation', 'correlation', 'parity', 'equivalence', 'compatibility', 'pros and con', 'before and after', 'parallelism']","['parity', ""what's working"", 'commonality', 'this then that', 'split screen', 'above or below', 'opposite end', 'percentage', 'statistic', 'migration', 'high to low', 'comparison', 'known or not known', 'comparing', 'alike and different', 'incremental', 'benchmark', 'numeration', 'datum', 'baseline', 'number', 'economic', 'percent', 'parallelism', 'opposite', 'up vs down slide', 'graph style', 'tipping point', 'numerical', 'actual vs forecast', 'differentiation', 'trapezium', 'common', 'chat', 'parallel', 'here to there', 'nearest', 'same and different', 'analytic', 'early adopter', 'pre post', 'quant', 'competition divider', 'equivalence', 'less and more', 'ups and down', 'increase and decrease', 'comparator', 'graph', 'pros and con', 'quantify', 'correlation', 'increase', 'dabbler', 'good vs bad', 'gear', 'chart', 'side by side', 'quantitative', 'today vs tomorrow', 'actual vs. anticipated', 'left and right', 'decrease', 'comparable', 'rectangle', 'trend', 'similarity', 'curtain', 'laggard', 'stat', 'migrate', 'upsides downside', 'a to b', 'comparative', 'true or false', 'a b testing', 'surface chart', 'area graph', 'where we are where we want to be', 'old vs. new', 'loyalist', 'today', 'financial', 'this then', 'polarity', 'ea', 'area chart', 'graph format', 'graphical format', 'triangle', 'two side', 'proactive vs. reactive', 'dichotomy', 'equal', 'compatibility', 'tomorrow', 'assumptions vs actual', 'known and unknown', 'before and after']",. The category is comparison. The construct is area_graph and contain curtain having shape of a rectangle trapezium triangle with chat gear icon,287,289
